"","Acid","Smoked","Heady","Citrus","Lemon","Cake","Milk","Woody","Grain","Low","Redfruit","Grilled","Strong","Fat","Vegetal","Medicine","Chemical","Licorice","Bread","Alcohol","Almond","Caramel","Coal","Unpleasant","Soft","Pepper","Flower","Fresh","Red","Fruit","Natural","Spicy","Sugar","Hot","Pleasant","Candy"
"Lemon",3,0,1,7,11,0,0,1,0,0,1,0,3,0,2,0,1,0,0,1,0,0,0,0,1,1,3,5,1,11,0,1,5,2,3,5
"Grapefruit",5,0,1,9,9,0,0,0,0,1,1,0,3,0,2,1,1,0,0,1,1,0,0,1,1,1,2,4,1,13,0,1,4,2,2,3
"Pineapple",5,0,1,5,4,0,0,4,0,0,3,0,3,0,4,0,1,0,0,0,1,0,0,1,3,0,1,3,3,13,0,1,9,0,2,8
"Pear",2,0,1,4,5,0,0,1,0,0,1,0,3,0,2,0,1,1,0,0,2,0,0,1,2,2,0,4,1,15,1,0,10,0,2,13
"Honey",1,2,1,1,3,0,1,3,2,0,0,2,7,0,2,1,0,0,0,2,1,1,1,8,2,1,2,3,0,1,1,1,4,3,1,1
"Butter",2,1,0,0,0,0,5,0,3,2,0,2,3,6,1,0,0,0,0,1,2,2,0,4,3,0,0,1,0,2,0,1,3,1,1,2
"Grilledbread",0,5,1,0,0,1,1,2,3,1,0,5,5,1,3,0,0,0,2,0,1,3,1,8,1,1,0,0,0,0,0,1,1,2,0,0
"Grilledhazelnut",0,3,1,1,0,2,1,3,6,1,0,3,4,1,2,0,1,0,1,0,1,2,0,5,2,1,1,1,0,1,0,0,2,3,1,0
"Strawberry",3,0,1,3,2,0,0,0,0,0,5,0,3,0,0,0,1,0,0,0,2,0,0,1,3,0,0,4,5,14,0,0,13,0,2,14
"Raspberry",1,1,1,1,3,0,0,0,0,2,2,0,1,0,0,1,1,1,0,0,0,0,0,3,5,0,1,4,2,12,1,0,10,0,2,9
"Cherry",1,1,1,1,1,2,1,3,1,2,1,0,1,1,1,1,2,0,0,2,9,0,0,0,4,0,0,1,1,4,0,0,5,2,3,5
"Blackcurrant",1,1,1,1,1,1,2,2,2,2,1,1,1,1,4,0,0,1,0,1,0,2,0,2,5,1,2,3,1,8,1,0,4,3,1,2
"Greenpepper",3,3,0,1,1,1,0,6,0,1,0,2,1,0,8,1,0,0,0,1,0,2,1,5,0,1,2,4,0,1,1,0,2,2,1,0
"Smoked",0,19,0,0,0,0,0,1,0,1,0,6,7,0,0,2,1,0,0,1,0,1,3,4,0,1,0,0,0,0,0,1,0,2,0,1
"Pepper",3,1,0,1,3,0,1,2,0,0,1,1,2,0,2,1,2,0,0,1,1,0,0,2,2,8,0,1,1,1,1,4,1,7,1,1
"Licorice",1,5,1,0,1,0,0,2,0,1,0,2,5,1,0,3,2,3,0,3,0,1,1,4,0,0,0,0,0,1,1,2,0,4,0,1
