   ;Juge 1;Juge 2;Juge 3;Juge 4;Juge 5;Juge 6;Juge 7;Juge 8;Juge 9;Juge 10;Juge 11;Juge 12;Juge 13;Juge 14;Juge 15;Juge 16;Juge 17;Juge 18;Juge 19;Juge 20;Juge 21;Juge 22;Juge 23;Juge 24;Juge 25;Juge 26;Juge 27;Juge 28;Juge 29;Juge 30;Juge 31;Juge 32;Juge 33;Juge 34;Juge 35;Juge 36;Juge 37;Juge 38;Juge 39;Juge 40;Juge 41;Juge 42;Juge 43;Juge 44;Juge 45;Juge 46;Juge 47;Juge 48
Jaf_SP_F;5;6;2;5;4;4;3;3;4;6;4;5;2;2;2;5;7;7;3;5;3;4;2;2;6;5;3;7;6;7;5;6;3;4;5;4;3;4;3;3;6;5;3;7;1;3;2;7
Jaf;2;3;4;4;5;6;4;7;4;6;6;5;4;5;3;6;6;5;4;4;2;6;7;6;6;3;3;3;6;3;5;2;1;3;7;5;4;5;2;1;6;6;4;2;3;3;3;8
Trop_AP_F;9;8;5;8;4;7;4;8;4;6;8;6;10;5;8;9;7;4;4;3;1;5;8;8;4;4;7;5;3;2;3;5;5;6;2;5;5;4;2;4;3;6;4;6;10;3;4;3
Bio;3;2;3;6;3;7;3;2;4;6;4;1;2;1;3;6;2;6;2;4;4;5;3;2;2;4;5;6;6;3;5;1;2;2;2;2;5;4;3;6;3;3;5;2;1;2;3;1
Jock;3;5;8;8;2;8;4;5;4;5;8;2;10;4;5;7;7;4;3;8;2;5;8;6;5;6;2;6;2;4;6;5;4;8;6;2;6;4;3;3;6;5;6;2;1;2;2;5
And_F;7;5;8;8;3;5;4;3;4;6;7;4;9;7;3;8;3;4;3;3;2;4;8;5;2;4;6;6;5;5;7;4;2;1;1;3;4;4;8;6;5;6;4;3;1;5;2;5
Trop_SP_F;7;7;5;8;5;6;3;6;2;4;8;6;6;2;6;8;2;6;3;7;2;7;6;6;4;4;6;7;4;2;8;8;2;6;3;4;4;4;2;1;2;2;7;7;6;4;4;7
Jaf_AP_F;3;4;4;8;1;2;4;6;3;5;8;5;7;4;2;7;5;5;3;8;3;5;7;5;7;7;6;3;5;3;5;4;3;6;4;4;4;5;4;1;2;3;3;6;7;3;2;3
Trop_SP;1;8;3;8;1;6;4;3;2;5;4;6;5;7;9;6;7;6;4;4;2;6;7;5;7;4;4;5;2;3;3;6;1;2;5;6;7;4;3;7;6;2;4;6;1;2;3;6
Trop_AP;3;7;4;8;9;5;2;3;4;2;4;7;7;7;8;8;6;2;3;4;2;6;6;6;4;5;5;7;5;6;4;2;1;3;6;6;4;4;4;6;5;7;3;4;2;3;1;4
Trop_pulipissimo;7;2;6;8;3;6;4;8;4;5;8;5;10;7;6;9;8;4;4;4;2;4;6;6;6;5;4;7;4;6;5;8;3;2;1;6;4;4;4;1;5;6;4;8;4;3;1;3
Jaf_israel;4;2;3;6;2;6;3;4;2;3;7;3;4;7;3;7;6;6;3;2;3;6;4;6;5;5;3;2;3;2;3;3;1;3;7;3;6;3;6;3;4;4;4;3;1;7;4;2
